,leiden
WASP0008037,4
WASP0008038,0
WASP0008039,3
WASP0008040,14
WASP0008041,6
WASP0008042,16
WASP0008044,3
WASP0008046,8
WASP0008049,2
WASP0008054,1
WASP0008058,7
WASP0008060,6
WASP0008061,16
WASP0008063,2
WASP0008066,5
WASP0008067,1
WASP0008068,8
WASP0008070,21
WASP0008073,10
WASP0008074,1
WASP0008075,1
WASP0008076,3
WASP0008077,0
WASP0008078,7
WASP0008082,1
WASP0008083,6
WASP0008084,7
WASP0008086,4
WASP0008087,6
WASP0008090,1
WASP0008091,1
WASP0008092,8
WASP0008095,2
WASP0008097,16
WASP0008099,1
WASP0008100,6
WASP0008101,8
WASP0008104,3
WASP0008106,0
WASP0008107,6
WASP0008108,15
WASP0008109,1
WASP0008110,1
WASP0008111,5
WASP0008115,0
WASP0008116,1
WASP0008117,11
WASP0008119,12
WASP0008121,6
WASP0008125,12
WASP0008126,2
WASP0008128,6
WASP0008129,1
WASP0008130,0
WASP0008133,0
WASP0008135,5
WASP0008136,4
WASP0008137,0
WASP0008140,6
WASP0008141,2
WASP0008142,4
WASP0008143,0
WASP0008144,15
WASP0008145,2
WASP0008147,0
WASP0008148,12
WASP0008149,8
WASP0008150,1
WASP0008153,3
WASP0008154,5
WASP0008155,9
WASP0008156,7
WASP0008158,0
WASP0008159,1
WASP0008161,4
WASP0008163,0
WASP0008167,1
WASP0008168,7
WASP0008171,6
WASP0008172,2
WASP0008176,3
WASP0008177,1
WASP0008179,6
WASP0008180,0
WASP0008183,6
WASP0008186,10
WASP0008187,0
WASP0008190,6
WASP0008191,3
WASP0008192,1
WASP0008194,8
WASP0008197,7
WASP0008199,1
WASP0008202,7
WASP0008203,1
WASP0008205,1
WASP0008206,12
WASP0008208,7
WASP0008210,17
WASP0008211,3
WASP0008214,4
WASP0008215,23
WASP0008216,7
WASP0008218,6
WASP0008219,8
WASP0008221,0
WASP0008223,15
WASP0008224,15
WASP0008226,17
WASP0008227,1
WASP0008229,0
WASP0008231,2
WASP0008235,7
WASP0008236,2
WASP0008238,6
WASP0008239,13
WASP0008240,8
WASP0008241,8
WASP0008242,7
WASP0008246,7
WASP0008249,10
WASP0008267,5
WASP0008268,1
WASP0008269,12
WASP0008270,3
WASP0008278,12
WASP0008280,7
WASP0008282,9
WASP0008283,3
WASP0008284,6
WASP0008287,0
WASP0008291,3
WASP0008292,4
WASP0008293,5
WASP0008296,7
WASP0008297,6
WASP0008298,1
WASP0008299,1
WASP0008305,5
WASP0008311,2
WASP0008312,6
WASP0008314,11
WASP0008317,7
WASP0008319,1
WASP0008321,2
WASP0008322,9
WASP0008327,2
WASP0008328,1
WASP0008329,1
WASP0008335,8
WASP0008336,0
WASP0008340,15
WASP0008341,6
WASP0008343,6
WASP0008344,0
WASP0008349,6
WASP0008351,9
WASP0008352,6
WASP0008355,6
WASP0008356,7
WASP0008357,8
WASP0008362,6
WASP0008367,6
WASP0008368,9
WASP0008369,17
WASP0008370,0
WASP0008372,6
WASP0008373,6
WASP0008374,12
WASP0008379,0
WASP0008380,0
WASP0008381,2
WASP0008382,12
WASP0008383,1
WASP0009001,4
WASP0009002,8
WASP0009004,1
WASP0009006,20
WASP0009008,9
WASP0009009,12
WASP0009012,0
WASP0009014,4
WASP0009015,8
WASP0009016,2
WASP0009017,20
WASP0009019,20
WASP0009020,4
WASP0009021,2
WASP0009022,0
WASP0009024,0
WASP0009025,15
WASP0009026,12
WASP0009027,11
WASP0009029,2
WASP0009031,0
WASP0009033,1
WASP0009035,0
WASP0009036,6
WASP0009038,2
WASP0009039,13
WASP0009042,2
WASP0009043,1
WASP0009044,5
WASP0009045,5
WASP0009047,4
WASP0009048,10
WASP0009050,1
WASP0009051,8
WASP0009055,10
WASP0009056,5
WASP0009057,19
WASP0009058,2
WASP0009059,5
WASP0009061,4
WASP0009062,1
WASP0009063,4
WASP0009064,8
WASP0009065,22
WASP0009068,1
WASP0009069,4
WASP0009072,1
WASP0009075,8
WASP0009077,14
WASP0009078,4
WASP0009079,0
WASP0009080,2
WASP0009081,2
WASP0009083,5
WASP0009086,3
WASP0009087,5
WASP0009088,3
WASP0009091,16
WASP0009092,4
WASP0009094,2
WASP0009095,5
WASP0009096,0
WASP0009097,2
WASP0009099,4
WASP0009100,1
WASP0009102,2
WASP0009103,22
WASP0009104,10
WASP0009105,13
WASP0009106,1
WASP0009108,9
WASP0009109,10
WASP0009110,7
WASP0009112,2
WASP0009113,4
WASP0009114,7
WASP0009117,7
WASP0009119,4
WASP0009121,2
WASP0009122,14
WASP0009123,2
WASP0009125,8
WASP0009126,5
WASP0009127,8
WASP0009130,19
WASP0009136,0
WASP0009138,1
WASP0009139,0
WASP0009141,20
WASP0009142,8
WASP0009143,1
WASP0009146,5
WASP0009147,2
WASP0009148,20
WASP0009149,2
WASP0009151,4
WASP0009152,11
WASP0009156,3
WASP0009158,3
WASP0009159,1
WASP0009160,10
WASP0009161,4
WASP0009163,17
WASP0009165,13
WASP0009167,14
WASP0009170,1
WASP0009172,22
WASP0009173,3
WASP0009174,1
WASP0009175,7
WASP0009176,2
WASP0009177,2
WASP0009181,3
WASP0009182,9
WASP0009183,5
WASP0009184,2
WASP0009186,11
WASP0009187,10
WASP0009188,19
WASP0009190,0
WASP0009192,4
WASP0009194,3
WASP0009195,10
WASP0009198,0
WASP0009200,2
WASP0009202,20
WASP0009203,8
WASP0009204,20
WASP0009206,1
WASP0009207,5
WASP0009209,23
WASP0009210,13
WASP0009212,5
WASP0009213,4
WASP0009216,17
WASP0009217,7
WASP0009221,12
WASP0009222,6
WASP0009223,11
WASP0009224,5
WASP0009226,4
WASP0009227,5
WASP0009229,5
WASP0009230,2
WASP0009232,10
WASP0009235,2
WASP0009236,13
WASP0009237,2
WASP0009239,19
WASP0009241,4
WASP0009242,1
WASP0009243,3
WASP0009246,2
WASP0009247,0
WASP0009250,17
WASP0009251,4
WASP0009256,13
WASP0009257,1
WASP0009258,4
WASP0009261,10
WASP0009262,4
WASP0009264,1
WASP0009265,5
WASP0009266,1
WASP0009267,10
WASP0009268,3
WASP0009270,4
WASP0009271,1
WASP0009272,4
WASP0009273,3
WASP0009275,2
WASP0009276,7
WASP0009278,22
WASP0009279,3
WASP0009280,2
WASP0009284,2
WASP0009286,18
WASP0009287,5
WASP0009288,1
WASP0009290,5
WASP0009292,6
WASP0009293,1
WASP0009296,1
WASP0009297,2
WASP0009303,14
WASP0009304,0
WASP0009312,1
WASP0009313,3
WASP0009314,5
WASP0009315,14
WASP0009318,9
WASP0009319,4
WASP0009321,6
WASP0009322,1
WASP0009324,1
WASP0009325,2
WASP0009326,14
WASP0009327,2
WASP0009328,2
WASP0009329,0
WASP0009334,15
WASP0009335,3
WASP0009336,4
WASP0009338,4
WASP0009339,5
WASP0009343,17
WASP0009344,18
WASP0009347,4
